word,frequency
parliament,1
trade,2
major,1
deal,2
mp,1
concern,1
temper,1
leav,1
earli,1
chine,1
fuell,1
want,1
show,1
higher,1
eu,1
u,1
7,1
3,2
asian,1
loss,1
china,2
extend,2
pa,1
brexit,1
uncertainti,1
minist,1
gain,1
lawmak,1
said,2
month,1
deadlin,2
spat,1
divorc,1
seoul,1
agre,2
superpow,1
ralli,2
ministri,1
shanghai,1
drop,1
pound,1
kong,1
side,1
industri,1
thursday,1
tariff,1
run,1
poll,1
prime,1
4,1
long,1
mini,1
pain,1
monday,1
close,1
resolut,1
last,1
market,1
commerc,1
0,4
hong,1
cours,1
core,1
hope,2
per,4
cent,4
push,1
profit,1
giant,1
bloc,1
end,1
econom,1
data,1
tokyo,1
properli,1
snap,1
refus,1
address,1
consid,1
fresh,1
morn,1
leader,1
britain,1
give,1
