word,frequency
agre,1
profound,1
produc,1
tehran,2
also,1
nuclear,3
core,1
western,1
macron,1
enrich,5
iran,4
choru,1
would,1
step,1
gmt,1
back,1
suspens,1
french,1
resumpt,1
new,1
deal,1
thursday,1
secret,1
restrict,1
midnight,1
parti,1
programm,1
decis,1
concern,1
agreement,1
extend,1
return,1
one,1
resum,2
plant,4
rais,1
warhead,1
uranium,4
drawn,1
posit,1
power,2
2030,1
sanction,1
long,1
wednesday,1
sensit,1
grave,1
chang,1
form,1
emmanuel,1
made,1
process,1
troubl,1
fuel,1
fissil,1
2015,1
highli,1
said,1
previou,1
remain,1
presid,1
commit,1
announc,1
lift,1
alarm,1
fordow,2
south,1
landmark,1
underground,1
