word,frequency
hospit,1
nation,1
hous,1
home,2
today,1
namaz,1
cardiac,1
taken,1
parliament,1
chair,1
told,1
reportedli,1
elect,1
7,1
partial,1
novemb,1
back,2
bashundhara,1
r,1
chattogram,1
die,1
kantho,1
mp,2
khan,2
badal,4
parti,1
like,1
friday,1
india,1
assist,1
jsd,1
8,1
member,2
boalkhali,1
flown,1
act,1
nativ,1
janaza,1
institut,1
famili,1
bodi,4
prime,1
gone,1
babu,1
mayeen,2
four,1
sm,1
plaza,1
minist,1
socialist,1
offic,1
e,1
bengaluru,1
kaler,1
privat,1
along,1
uddin,2
scienc,1
morn,1
respect,1
narayana,1
south,1
bring,2
habib,1
deleg,1
villag,1
