word,frequency
lack,1
rover,1
318,1
south,1
combin,1
e,3
karman,1
space,1
62,1
payload,1
develop,1
4,3
soft,1
length,1
side,2
scientif,1
day,2
yutu,1
aitken,1
basin,1
switch,1
saudi,1
netherland,1
explor,2
first,1
mission,1
driven,1
germani,1
ever,1
2018,1
14,1
moon,2
sweden,1
probe,2
conduct,1
china,3
crater,1
equal,1
wisdom,1
launch,1
hope,1
lunar,4
dormant,1
far,2
four,1
night,2
power,1
3,1
arabia,1
earth,1
8,1
pole,1
made,1
chang,3
jan,1
territori,1
virgin,1
mode,1
von,1
due,1
meter,1
dec,1
embodi,1
solar,1
2,1
land,1
