word,frequency
risk,1
earli,1
went,1
mahmudullah,1
yesterday,1
start,1
fell,1
match,1
rue,1
deliveri,1
undid,1
da,1
seiz,1
india,2
complet,1
naim,1
fade,1
away,2
without,1
special,1
need,1
read,1
run,1
bowler,1
thing,2
failur,1
second,1
ball,1
liton,2
upper,1
long,1
stadium,1
tiger,1
left,1
right,1
wicket,1
focu,1
yuzvendra,1
associ,1
inning,1
effort,1
throw,1
rajkot,1
riyad,1
bowl,1
loo,1
know,1
keep,1
t20i,1
hand,1
mistak,1
sheikh,1
bat,1
control,1
watch,1
pant,1
tidi,1
chahal,1
saurashtra,1
unabl,1
googli,1
die,1
brain,1
ask,1
bangladesh,1
cricket,1
